Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
121,Barrel Aged Bomb!,Prairie Artisan Ales,American Double / Imperial Stout,11.20%,4.42,920,40
122,Heavy Mettle,Trillium Brewing Company,American Double / Imperial IPA,9.30%,4.42,764,169
123,The Broken Truck,de Garde Brewing,Gueuze,5.00%,4.42,136,79
124,Columbus Bodhi DIPA,Columbus Brewing Company,American Double / Imperial IPA,8.50%,4.42,1398,59
125,Stickee Monkee,Firestone Walker Brewing Company,Quadrupel (Quad),12.00%,4.42,2294,84
126,Bourbon Barrel Aged Dark Star Oatmeal Stout,Fremont Brewing Company,Oatmeal Stout,14.50%,4.42,404,147
127,Maple Bacon Coffee Porter,Funky Buddha Brewery,American Porter,6.40%,4.42,1689,81
128,Last Snow,Funky Buddha Brewery,American Porter,6.40%,4.42,1664,77
129,Miami Madness,J. Wakefield Brewing,Berliner Weissbier,3.50%,4.42,275,124
130,St. Bernardus Abt 12,Brouwerij St. Bernardus NV,Quadrupel (Quad),10.00%,4.42,9290,66
131,Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Company,American Double / Imperial Stout,11.90%,4.42,1842,94
132,Cantillon Lou Pepe - Framboise,Brasserie Cantillon,Lambic - Fruit,5.00%,4.42,1244,93
133,Peg's G.O.O.D. RareR D.O.S.,Peg's Cantina & Brew Pub,American Double / Imperial Stout,10.00%,4.42,725,18
134,Drie Fonteinen Framboos,Brouwerij Drie Fonteinen,Lambic - Fruit,5.00%,4.42,633,17
135,Cantillon Saint Lamvinus,Brasserie Cantillon,Lambic - Fruit,5.00%,4.42,2005,133
136,Trademark Dispute: Hazelnut,Peg's Cantina & Brew Pub,American Double / Imperial Stout,Imperial,4.42,124,75
137,Afterimage,Grimm Artisanal Ales,American Double / Imperial IPA,8.00%,4.41,425,167
138,Temptation,Russian River Brewing Company,American Wild Ale,7.50%,4.41,3615,1
139,Juicy,Hill Farmstead Brewery,Saison / Farmhouse Ale,7.40%,4.41,455,165
140,Prairie Apple Brandy Noir,Prairie Artisan Ales,American Double / Imperial Stout,12.00%,4.41,1377,54
141,Darkness,Surly Brewing Company,Russian Imperial Stout,10.30%,4.41,3686,177
142,Hop JuJu Imperial IPA,Fat Head's Brewery & Saloon,American Double / Imperial IPA,9.00%,4.41,1965,82
143,Chocolate Rain,The Bruery,American Double / Imperial Stout,18.50%,4.41,2583,107
144,Ten Fidy Bourbon Barrel Aged,Oskar Blues Grill & Brew,Russian Imperial Stout,12.90%,4.41,459,150
145,Triple Shot,Tree House Brewing Company,American Double / Imperial Stout,9.00%,4.41,254,100
146,Bad Boy,Alpine Beer Company,American Double / Imperial IPA,9.00%,4.41,549,30
147,Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,10.00%,4.41,2314,90
148,Dragon Fruit Passion Fruit Berliner,J. Wakefield Brewing,Berliner Weissbier,3.50%,4.41,282,126
149,Citraquench'l,Heist Brewery,American IPA,6.70%,4.41,90,85
150,Mother Of All Storms,Pelican Pub & Brewery,English Barleywine,14.00%,4.41,1901,129
151,Orange Starfish,Aslin Beer Company,American IPA,5.70%,4.41,122,87
152,Coriolis,New England Brewing Company,American Double / Imperial IPA,8.20%,4.41,530,153
153,Oro Negro,Jackie O's Pub & Brewery,American Double / Imperial Stout,10.00%,4.4,610,15
