"Rank","Beer","Brewery","Style","ABV","Rating","Ratings","Reviews"
119,"Permanent Funeral","Three Floyds Brewing Company","American Double / Imperial IPA","10.50%",4.44,2797,102
120,"Miami Madness","J. Wakefield Brewing","Berliner Weissbier","5.50%",4.44,294,128
121,"Stickee Monkee","Firestone Walker Brewing Company","Quadrupel (Quad)","11.60%",4.43,2337,85
122,"Heavy Mettle","Trillium Brewing Company","American Double / Imperial IPA","9.30%",4.43,800,178
123,"Upper Case","Trillium Brewing Company","American Double / Imperial IPA","9.00%",4.43,791,15
124,"Barrel Aged Bomb!","Prairie Artisan Ales","American Double / Imperial Stout","11.20%",4.43,1022,47
125,"Imperial Biscotti Break Bourbon Barrel Aged","Evil Twin Brewing","American Double / Imperial Stout","11.50%",4.43,1551,32
126,"Imperial Russian Stout - Bourbon Barrel Aged","Stone Brewing","Russian Imperial Stout","13.50%",4.43,1142,44
127,"Bourbon Barrel Aged Dark Star Oatmeal Stout","Fremont Brewing Company","Oatmeal Stout","14.50%",4.43,455,150
128,"Juicy","Hill Farmstead Brewery","Saison / Farmhouse Ale","7.40%",4.43,494,170
129,"Hopslam Ale","Bell's Brewery, Inc.","American Double / Imperial IPA","10.00%",4.43,12824,94
130,"A Deal With The Devil","Anchorage Brewing Company","American Barleywine","17.30%",4.43,968,29
131,"Rare Scooop","Peg's Cantina & Brew Pub","American Double / Imperial Stout","Imperial",4.43,106,76
132,"Cantillon Saint Lamvinus","Brasserie Cantillon","Lambic - Fruit","5.00%",4.43,2019,131
133,"Prairie Apple Brandy Noir","Prairie Artisan Ales","American Double / Imperial Stout","12.00%",4.43,1443,57
134,"Alexander","Brouwerij Rodenbach N.V.","Flanders Red Ale","5.00%",4.42,460,34
135,"Maple Bacon Coffee Porter","Funky Buddha Brewery","American Porter","6.40%",4.42,1735,79
136,"Last Snow","Funky Buddha Brewery","American Porter","6.40%",4.42,1723,78
137,"Mexican Brunch","Kane Brewing Company","American Porter","9.20%",4.42,228,90
138,"Drie Fonteinen Framboos","Brouwerij Drie Fonteinen","Lambic - Fruit","5.00%",4.42,653,18
139,"No Rules","Perrin Brewery","American Porter","15.00%",4.42,1022,68
140,"Coriolis","New England Brewing Company","American Double / Imperial IPA","8.20%",4.42,577,159
141,"St. Bernardus Abt 12","Brouwerij St. Bernardus NV","Quadrupel (Quad)","10.00%",4.42,9374,62
142,"Cantillon Lou Pepe - Framboise","Brasserie Cantillon","Lambic - Fruit","5.00%",4.42,1257,91
143,"Saison Bernice","Sante Adairius Rustic Ales","Saison / Farmhouse Ale","6.50%",4.42,843,166
144,"Columbus Bodhi DIPA","Columbus Brewing Company","American Double / Imperial IPA","8.50%",4.42,1442,57
145,"Afterimage","Grimm Artisanal Ales","American Double / Imperial IPA","8.00%",4.42,433,164
146,"Pugachev Royale","Hangar 24 Brewery","Russian Imperial Stout","14.80%",4.41,196,86
147,"Temptation","Russian River Brewing Company","American Wild Ale","7.50%",4.41,3638,1
148,"Dragon Fruit Passion Fruit Berliner","J. Wakefield Brewing","Berliner Weissbier","3.50%",4.41,297,128
149,"Hop JuJu Imperial IPA","Fat Head's Brewery & Saloon","American Double / Imperial IPA","9.00%",4.41,1978,80
150,"Darkness","Surly Brewing Company","Russian Imperial Stout","10.30%",4.41,3753,176
151,"Triple Shot","Tree House Brewing Company","American Double / Imperial Stout","9.00%",4.41,255,97
152,"Chocolate Rain","The Bruery","American Double / Imperial Stout","18.50%",4.41,2615,105
153,"Oro Negro","Jackie O's Pub & Brewery","American Double / Imperial Stout","10.50%",4.41,670,17
154,"Peg's G.O.O.D. RareR D.O.S.","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.00%",4.41,736,17
155,"Bad Boy","Alpine Beer Company","American Double / Imperial IPA","9.00%",4.41,549,29
156,"Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","10.00%",4.41,2414,100
157,"Imperial Eclipse Stout - Elijah Craig (12 Year)","FiftyFifty Brewing Company","American Double / Imperial Stout","11.90%",4.41,1870,92
158,"Rodenbach Caractère Rouge","Brouwerij Rodenbach N.V.","Flanders Red Ale","7.00%",4.41,1383,65
159,"Mother Of All Storms","Pelican Pub & Brewery","English Barleywine","14.00%",4.41,1928,130
160,"Second Fiddle","Fiddlehead Brewing Company","American Double / Imperial IPA","8.20%",4.41,1710,55
161,"Orange Starfish","Aslin Beer Company","American IPA","5.70%",4.41,133,90
162,"Born Yesterday Pale Ale","Lagunitas Brewing Company","American Pale Ale (APA)","7.00%",4.4,2242,123
163,"Consecration","Russian River Brewing Company","American Wild Ale","10.00%",4.4,5208,2
164,"Curiosity Twenty Seven","Tree House Brewing Company","American Double / Imperial IPA","8.00%",4.4,125,72
165,"Westly","Sante Adairius Rustic Ales","American Wild Ale","8.50%",4.4,230,97
166,"Dialed In (w/ Sauvignon Blanc Juice)","Trillium Brewing Company","American Double / Imperial IPA","8.50%",4.4,472,155
167,"Montmorency Vs Balaton","Jester King Brewery","American Wild Ale","6.70%",4.4,696,141
168,"Nut Smasher","Willoughby Brewing","American Double / Imperial Stout","11.00%",4.4,295,149
169,"Bourbon Barrel Aged Dark Star: Coffee Edition","Fremont Brewing Company","Oatmeal Stout","14.50%",4.4,563,147
170,"Epiphany","Foundation Brewing Company","American Double / Imperial IPA","8.00%",4.4,861,28
171,"Samuel Adams Utopias","Boston Beer Company (Samuel Adams)","American Strong Ale","29.00%",4.4,2491,140
172,"AleSmith Speedway Stout - Vietnamese Coffee","AleSmith Brewing Company","American Double / Imperial Stout","12.00%",4.4,1712,40
173,"Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan","Hefeweizen","5.40%",4.4,8173,61
174,"West Ashley","Sante Adairius Rustic Ales","American Wild Ale","7.30%",4.4,943,178
175,"Trademark Dispute: Pallet 1","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.40%",4.4,304,135
176,"Ground State - 2nd Anniversary Beer","Bottle Logic Brewing","American Double / Imperial Stout","12.50%",4.4,375,151
177,"Dreadnaught IPA","Three Floyds Brewing Company","American Double / Imperial IPA","9.50%",4.4,5951,10
178,"Double Dry Hopped Sleeper Street","Trillium Brewing Company","American IPA","7.20%",4.4,725,175
179,"Softly Spoken Magic Spells","SingleCut Beersmiths","American Double / Imperial IPA","8.60%",4.4,613,36
180,"Leche Borracho","Bottle Logic Brewing","American Double / Imperial Stout","11.00%",4.39,273,133
181,"Matt","Hair of the Dog Brewing Company / Brewery and Tasting Room","American Strong Ale","11.50%",4.39,831,79
182,"Double Dry Hopped Melcher Street","Trillium Brewing Company","American IPA","7.20%",4.39,797,185
183,"French Vanilla Militia","Three Floyds Brewing Company","Russian Imperial Stout","Imperial",4.39,117,76
184,"Aaron","Hill Farmstead Brewery","English Barleywine","BreweryEnglish",4.39,342,107
185,"Society & Solitude #6","Hill Farmstead Brewery","American Double / Imperial IPA","8.10%",4.39,671,159
186,"Double Dry Hopped Scaled","Trillium Brewing Company","American IPA","7.00%",4.39,567,159
187,"Great","Alpine Beer Company","American Barleywine","14.00%",4.39,653,41
188,"Cascade Sang Noir","Cascade Brewing / Raccoon Lodge & Brewpub","American Wild Ale","9.50%",4.39,1632,68
189,"Ghost In The Machine","Parish Brewing Company","American Double / Imperial IPA","8.00%",4.39,545,178
190,"Péché Mortel","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50%",4.39,5034,11
191,"Saison Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","7.00%",4.39,628,126
192,"Spotted Puffer","Pipeworks Brewing Company","American Double / Imperial IPA","9.50%",4.39,300,126
193,"Bourbon Barrel Oro Negro","Jackie O's Pub & Brewery","American Double / Imperial Stout","11.00%",4.39,274,121
194,"Dragonsaddle","Hoof Hearted Brewing","American Double / Imperial IPA","11.20%",4.39,218,121
195,"Stone Enjoy By IPA","Stone Brewing","American Double / Imperial IPA","9.40%",4.39,10556,6
196,"Scaled Up","Trillium Brewing Company","American Double / Imperial IPA","8.00%",4.39,619,172
197,"Damon (Bourbon Barrel Aged)","Hill Farmstead Brewery","Russian Imperial Stout","10.50%",4.38,677,186
198,"Vicinity","Trillium Brewing Company","American Double / Imperial IPA","8.00%",4.38,1319,47
199,"Edward","Hill Farmstead Brewery","American Pale Ale (APA)","5.20%",4.38,2580,109
200,"Yellow Rose","The Lone Pint Brewery","American IPA","6.80%",4.38,1611,71
201,"Double Shot- Batch 500","Tree House Brewing Company","American Stout","8.60%",4.38,83,69
202,"XHOPS (Gold Label)","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.30%",4.38,445,165
203,"Madagascar","4 Hands Brewing Company","Milk / Sweet Stout","9.30%",4.38,648,157
204,"Citra Showers","Noble Ale Works","American Double / Imperial IPA","8.80%",4.38,483,157
