"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
99,"Hill Farmstead Brewery","Susan","American IPA","6.20%",4.45,1765,60
100,"Firestone Walker Brewing Company","§ucaba","English Barleywine","12.50%",4.45,4940,184
101,"Trillium Brewing Company","Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.45,1762,58
102,"Hill Farmstead Brewery","Everett Porter","American Porter","7.50%",4.45,2569,127
103,"Cigar City Brewing","Caffè Americano","American Double / Imperial Stout","11.00%",4.45,961,26
104,"Toppling Goliath Brewing Company","Sosus","American Double / Imperial IPA","8.00%",4.45,1254,41
105,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,1000,55
106,"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2063,119
107,"Cigar City Brewing","Decoherence","American Double / Imperial Stout","12.90%",4.45,173,100
108,"Trillium Brewing Company","Congress Street IPA","American IPA","7.20%",4.45,1837,76
109,"Trillium Brewing Company","Mosaic Dry Hopped Fort Point","American Pale Ale (APA)","6.60%",4.45,936,20
110,"Oskar Blues Grill & Brew","Ten FIDY Bourbon Barrel Aged","Russian Imperial Stout","12.90%",4.44,902,43
111,"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.44,164,115
112,"Hair of the Dog Brewing Company / Brewery and Tasting Room","Adam From The Wood","Old Ale","12.00%",4.44,943,50
113,"Three Floyds Brewing Company","Permanent Funeral","American Double / Imperial IPA","10.50%",4.44,2786,111
114,"Bell's Brewery, Inc.","Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12647,107
115,"Perrin Brewery","No Rules","American Porter","15.00%",4.44,984,64
116,"Peg's Cantina & Brew Pub","Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.44,168,95
117,"de Garde Brewing","Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.44,190,95
118,"J. Wakefield Brewing","Miami Madness","Berliner Weissbier","5.50%",4.43,285,136
119,"Heist Brewery","Citraquench'l","American IPA","6.70%",4.43,98,100
120,"Jackie O's Pub & Brewery","Bourbon Barrel Champion Ground","American Double / Imperial Stout","11.00%",4.43,429,174
121,"Firestone Walker Brewing Company","Stickee Monkee","Quadrupel (Quad)","11.60%",4.43,2307,93
122,"Trillium Brewing Company","Upper Case","American Double / Imperial IPA","9.00%",4.43,780,15
123,"Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1545,36
124,"Stone Brewing","Imperial Russian Stout - Bourbon Barrel Aged","Russian Imperial Stout","13.50%",4.43,1139,49
125,"Prairie Artisan Ales","Barrel Aged Bomb!","American Double / Imperial Stout","11.20%",4.43,986,48
126,"Trillium Brewing Company","Heavy Mettle","American Double / Imperial IPA","9.30%",4.43,774,176
127,"Anchorage Brewing Company","A Deal With The Devil","American Barleywine","17.30%",4.43,950,30
128,"de Garde Brewing","The Broken Truck","Gueuze","5.00%",4.43,141,80
129,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.43,423,156
130,"Prairie Artisan Ales","Prairie Apple Brandy Noir","American Double / Imperial Stout","12.00%",4.42,1410,59
131,"Funky Buddha Brewery","Last Snow","American Porter","6.40%",4.42,1699,84
