"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
168,"Pipeworks Brewing Company","Spotted Puffer","American Double / Imperial IPA","9.50%",4.39,283,124,"3912 W McLean Ave","","Chicago","IL","60647"
169,"Other Half Brewing Company","All Green Everything","American Double / Imperial IPA","10.50%",4.39,903,20,"195 Centre St","","Brooklyn","NY","11231"
170,"Alpine Beer Company","Great","American Barleywine","14.00%",4.39,641,42,"2363 Alpine Blvd","","Alpine","CA","91901"
171,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.39,1499,32,"9990 AleSmith Ct","","San Diego","CA","92126"
172,"Noble Ale Works","Citra Showers","American Double / Imperial IPA","8.80%",4.39,450,151,"1621 S Sinclair St","","Anaheim","CA","92806"
173,"Sante Adairius Rustic Ales","Westly","American Wild Ale","8.50%",4.39,211,90,"103 Kennedy Dr","","Capitola","CA","95010"
174,"Willoughby Brewing","Nut Smasher","American Double / Imperial Stout","11.00%",4.39,272,138,"4057 Erie Street","","Willoughby","OH","44094"
175,"Sante Adairius Rustic Ales","Saison Bernice","Saison / Farmhouse Ale","6.50%",4.39,793,159,"103 Kennedy Dr","","Capitola","CA","95010"
176,"Trillium Brewing Company","Double Dry Hopped Scaled","American IPA","7.00%",4.39,481,150,"369 Congress St","","Boston","MA","02210"
177,"Brasserie Dieu du Ciel!","Péché Mortel","American Double / Imperial Stout","9.50%",4.39,4950,11,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
178,"de Garde Brewing","Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.39,130,67,"6000 Blimp Blvd","","Tillamook","OR","97141"
179,"Surly Brewing Company","Darkness - High West Rye Whiskey Barrel Aged (2015)","Russian Imperial Stout","12.00%",4.39,314,122,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
180,"Stone Brewing","Stone Enjoy By IPA","American Double / Imperial IPA","9.40%",4.39,10451,6,"1999 Citracado Parkway","","Escondido","CA","92029"
181,"Avery Brewing Company","Tweak","American Double / Imperial Stout","17.81%",4.38,2005,86,"4910 Nautilus Ct","","Boulder","CO","80301"
182,"Trillium Brewing Company","Scaled Up","American Double / Imperial IPA","8.00%",4.38,487,157,"369 Congress St","","Boston","MA","02210"
183,"SingleCut Beersmiths","Softly Spoken Magic Spells","American Double / Imperial IPA","8.60%",4.38,418,183,"19-33 37th St","","Queens","NY","11105"
184,"Brouwerij Drie Fonteinen","Drie Fonteinen Hommage","Lambic - Fruit","6.00%",4.38,808,50,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
185,"Jester King Brewery","Montmorency Vs Balaton","American Wild Ale","6.70%",4.38,626,134,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
186,"Hill Farmstead Brewery","Edward","American Pale Ale (APA)","5.20%",4.38,2512,107,"403 Hill Rd","","Greensboro Bend","VT","05842"
187,"Side Project Brewing","Saison Du Fermier","Saison / Farmhouse Ale","7.00%",4.38,601,124,"7373 Marietta Ave","","Maplewood","MI","63143"
188,"Stone Brewing","Stone Enjoy By Unfiltered IPA","American Double / Imperial IPA","9.40%",4.38,1052,70,"1999 Citracado Parkway","","Escondido","CA","92029"
189,"4 Hands Brewing Company","Madagascar","Milk / Sweet Stout","9.30%",4.38,595,150,"1220 S 8th St","","St. Louis","MO","63104"
190,"Cascade Brewing / Raccoon Lodge & Brewpub","Cascade Sang Noir","American Wild Ale","9.50%",4.38,1563,69,"7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225"
191,"The Lone Pint Brewery","Yellow Rose","American IPA","6.80%",4.38,1518,59,"507 Commerce St","","Magnolia","TX","77355"
192,"Ballast Point Brewing Company","Sculpin IPA","American IPA","7.00%",4.38,13403,61,"9045 Carroll Way","","San Diego","CA","92121"
193,"Avery Brewing Company","Callipygian","American Double / Imperial Stout","17.10%",4.38,262,144,"4910 Nautilus Ct","","Boulder","CO","80301"
194,"de Garde Brewing","The Broken Truck","Gueuze","5.00%",4.38,111,54,"6000 Blimp Blvd","","Tillamook","OR","97141"
195,"Kane Brewing Company","Mexican Brunch","American Porter","9.20%",4.37,156,56,"1750 Bloomsbury Ave","","Ocean","NJ","07712"
196,"Alpine Beer Company","Exponential Hoppiness","American Double / Imperial IPA","11.00%",4.37,1286,118,"2363 Alpine Blvd","","Alpine","CA","91901"
197,"Grimm Artisanal Ales","Tesseract","American Double / Imperial IPA","8.00%",4.37,407,152,"PO Box 150472","","Brooklyn","NY","11215"
198,"Alpine Beer Company","Nelson","American IPA","7.00%",4.37,4000,171,"2363 Alpine Blvd","","Alpine","CA","91901"
199,"Trillium Brewing Company","Double Dry Hopped Melcher Street","American IPA","7.30%",4.37,650,161,"369 Congress St","","Boston","MA","02210"
200,"Logsdon Farmhouse Ales","Peche 'n Brett","Saison / Farmhouse Ale","10.00%",4.37,1218,43,"4785 Booth Hill Rd","","Hood River","OR","97031"
201,"Brasserie Cantillon","Cantillon Gueuze 100% Lambic","Gueuze","5.00%",4.37,3044,149,"Rue Gheude 56","","Brussels","Belgium","1070"
202,"Buxton Brewery","Buxton / Omnipollo Yellow Belly","American Double / Imperial Stout","11.00%",4.37,192,122,"Staden Business Park","","Buxton","UK","SK17 9RZ"
203,"Societe Brewing Company","The Pupil","American IPA","7.80%",4.37,859,177,"8262 Clairemont Mesa Blvd","","San Diego","CA","92111"
204,"Brasserie Dieu du Ciel!","Péché Mortel En Fût De Bourbon Américain","American Double / Imperial Stout","9.50%",4.37,420,173,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
205,"Trillium Brewing Company","Dialed In (w/ Sauvignon Blanc Juice)","American Double / Imperial IPA","8.50%",4.37,379,135,"369 Congress St","","Boston","MA","02210"
206,"AleSmith Brewing Company","AleSmith Speedway Stout","American Double / Imperial Stout","12.00%",4.37,6515,9,"9990 AleSmith Ct","","San Diego","CA","92126"
207,"Kuhnhenn Brewing Company","Kuhnhenn Raspberry Eisbock","Eisbock","15.50%",4.37,1220,128,"5919 Chicago Rd","","Warren","MI","48092"
208,"Pipeworks Brewing Company","Sure Bet","American Double / Imperial IPA","9.50%",4.37,496,147,"3912 W McLean Ave","","Chicago","IL","60647"
209,"Hill Farmstead Brewery","Aaron","English Barleywine","BreweryEnglish",4.36,314,94,"403 Hill Rd","","Greensboro Bend","VT","05842"
210,"Grimm Artisanal Ales","Lumen","American IPA","6.40%",4.36,238,119,"PO Box 150472","","Brooklyn","NY","11215"
211,"The Bruery","Grey Monday","American Double / Imperial Stout","19.50%",4.36,1626,35,"715 Dunn Way","","Placentia","CA","92870"
212,"Hangar 24 Brewery","Pugachev Royale","Russian Imperial Stout","14.80%",4.36,157,73,"1710 Sessums Drive","","Redlands","CA","92374"
213,"Lift Bridge Brewery","Barrel-Aged Silhouette","Russian Imperial Stout","10.00%",4.36,322,112,"1900 Tower Dr W","","Stillwater","MN","55082"
214,"Westbrook Brewing Company","Mexican Cake","American Double / Imperial Stout","10.50%",4.36,2572,99,"510 Ridge Rd","","Mount Pleasant","NC","29464"
215,"Brasserie Cantillon","Cantillon Lou Pepe - Gueuze","Gueuze","5.00%",4.36,1066,68,"Rue Gheude 56","","Brussels","Belgium","1070"
216,"The Lost Abbey","Box Set Track #10 - Bat Out Of Hell","American Double / Imperial Stout","13.50%",4.36,916,28,"155 Mata Way #104","","San Marcos","CA","92069"
217,"Jackie O's Pub & Brewery","Bourbon Barrel Black Maple","American Porter","11.00%",4.36,839,175,"24 W Union St","","Athens","OH","45701"
218,"Hill Farmstead Brewery","Damon (Bourbon Barrel Aged)","Russian Imperial Stout","10.50%",4.36,638,175,"403 Hill Rd","","Greensboro Bend","VT","05842"
219,"Clown Shoes","Breakfast Exorcism","American Double / Imperial Stout","11.00%",4.36,309,135,"23 Hayward St.","","Ipswich","MA","01938"
220,"Boneyard Beer Company","Hop Venom Double IPA","American Double / Imperial IPA","8.90%",4.36,886,26,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
221,"Heist Brewery","Citraquench'l","American IPA","6.70%",4.36,62,54,"2901 N Davidson St","","Charlotte","NC","28205"
222,"Lagunitas Brewing Company","ScareCity #3: High West-ified Imperial Coffee Stout","American Double / Imperial Stout","12.10%",4.36,1298,55,"1280 N McDowell Blvd","","Petaluma","CA","94954"
223,"New Glarus Brewing Company","Wisconsin Belgian Red","Fruit / Vegetable Beer","4.00%",4.35,3451,186,"2400 Hwy 69","","New Glarus","WA","53574"
224,"Avery Brewing Company","Uncle Jacob's Stout","American Double / Imperial Stout","17.10%",4.35,2486,113,"4910 Nautilus Ct","","Boulder","CO","80301"
225,"Fremont Brewing Company","Bourbon Abominable Winter Ale","American Strong Ale","14.00%",4.35,997,44,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
226,"Cigar City Brewing","Decoherence","American Double / Imperial Stout","12.90%",4.35,101,54,"3924 W Spruce St","","Tampa","FL","33607"
227,"Peg's Cantina & Brew Pub","Hazelnut","American Double / Imperial Stout","Imperial",4.35,100,46,"Closed","","","",""
228,"New England Brewing Company","Locust Reign","American Double / Imperial IPA","8.50%",4.35,272,102,"175 Amity Rd","","Woodbridge","CT","06525"
229,"Three Floyds Brewing Company","French Vanilla Militia","Russian Imperial Stout","Imperial",4.35,79,56,"9750 Indiana Pkwy","","Munster","IN","46321"
230,"New Glarus Brewing Company","Serendipity","Fruit / Vegetable Beer","4.00%",4.35,2730,89,"2400 Hwy 69","","New Glarus","WA","53574"
231,"La Cumbre Brewing Company","Project Dank","American IPA","7.50%",4.35,777,182,"3313 Girard Blvd NE","","Albuquerque","NM","87107"
232,"Live Oak Brewing Company","Live Oak HefeWeizen","Hefeweizen","5.20%",4.35,1514,125,"1615 Crozier Ln","","Del Valle","TX","78617"
233,"Ballast Point Brewing Company","Victory At Sea Coffee Vanilla Imperial Porter","American Porter","10.00%",4.35,6589,5,"9045 Carroll Way","","San Diego","CA","92121"
234,"Deschutes Brewery","The Abyss (Rye Whiskey Barrel-Aged)","American Double / Imperial Stout","13.20%",4.35,293,145,"901 SW Simpson Ave","","Bend","OR","97702"
235,"Hill Farmstead Brewery","Birth Of Tragedy","American Porter","9.00%",4.34,1112,47,"403 Hill Rd","","Greensboro Bend","VT","05842"
236,"Modern Times Beer","Monsters Park - Bourbon Barrel Aged With Coconut And Cacao Nibs","American Double / Imperial Stout","13.00%",4.34,248,100,"3725 Greenwood St","","San Diego","CA","92110"
237,"The Bruery","Mocha Wednesday","American Double / Imperial Stout","19.20%",4.34,1199,21,"715 Dunn Way","","Placentia","CA","92870"
238,"Hill Farmstead Brewery","What Is Enlightenment?","American Pale Ale (APA)","5.40%",4.34,867,18,"403 Hill Rd","","Greensboro Bend","VT","05842"
239,"Grimm Artisanal Ales","Lambo Door","American Double / Imperial IPA","8.00%",4.34,385,165,"PO Box 150472","","Brooklyn","NY","11215"
240,"Minneapolis Town Hall Brewery","Masala Mama India Pale Ale","American IPA","6.00%",4.34,1350,156,"1430 Washington Ave S","","Minneapolis","MN","55454"
241,"Firestone Walker Brewing Company","Bretta Rosé","Berliner Weissbier","5.30%",4.34,690,163,"1400 Ramada Drive","","Paso Robles","CA","93446"
242,"Olde Hickory Brewery","The Event Horizon","American Double / Imperial Stout","8.50%",4.34,1701,92,"2 Third Street SW","","Hickory","NC","28602"
243,"Stone Brewing","Stone Imperial Russian Stout","Russian Imperial Stout","10.60%",4.34,8260,63,"1999 Citracado Parkway","","Escondido","CA","92029"
244,"Hill Farmstead Brewery","Genealogy Of Morals (Bourbon Barrel Aged)","American Double / Imperial Stout","10.70%",4.34,470,127,"403 Hill Rd","","Greensboro Bend","VT","05842"
245,"Founders Brewing Company","Founders Imperial Stout","Russian Imperial Stout","10.50%",4.34,7650,13,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
246,"Fiddlehead Brewing Company","Mastermind","American Double / Imperial IPA","8.10%",4.34,1212,35,"6305 Shelburne Rd","","Shelburne","VT","05482"
247,"Prairie Artisan Ales","Birthday Bomb!","American Double / Imperial Stout","13.00%",4.33,592,21,"1803 S 49th West Ave","","Tulsa","OK","74107"
248,"Pipeworks Brewing Company","Pipeworks / 4 Hands Emerald Grouper","American Double / Imperial IPA","9.50%",4.33,720,159,"3912 W McLean Ave","","Chicago","IL","60647"
249,"Midnight Sun Brewing Company","Arctic Devil Barley Wine","English Barleywine","13.20%",4.33,1311,111,"8111 Dimond Hook Dr","","Anchorage","AK","99507"
250,"New Glarus Brewing Company","Raspberry Tart","Fruit / Vegetable Beer","4.00%",4.33,3740,179,"2400 Hwy 69","","New Glarus","WA","53574"
