Brewery,Street,Street2,City,State,Zip,Latitude,Longitude
Tired Hands Brewing Company,16 Ardmore Ave,,Ardmore,PA,19003,43.758828,-69.320989
Toppling Goliath Brewing Company,310 College Dr,,Decorah,IO,52101,41.5353502,-87.5165134
Tr”egs Brewing Company,200 Hersheypark Dr,,Hershey,PA,17033,40.2973443,-76.644943
Transient Artisan Ales,4229 Lake St,,Bridgman,MI,49106,41.943286,-86.5578887
Tree House Brewing Company,160 E Hill Rd,,Monson,MA,1057,42.08938597,-72.28960609
Trillium Brewing Company,369 Congress St,,Boston,MA,2210,42.08938597,-72.28960609
Unibroue,80 Rue des Carrières, Canada,Chambly,QC ,J3L 2H6,45.4411889,-73.2636697
Upper Pass Beer Company,VT 110,,Tunbridge,VT,5077,43.8993275,-72.4873874
Voodoo Brewing Company,215 Arch St,,Meadville,PA,16335,42.3492432,-71.0445707
Weisses Br„uhaus G. Schneider & Sohn GmbH,Emil-Ott-Straße 1,,Kelheim, Germany,93309,48.9172322,11.8726909
Westbrook Brewing Co.,510 Ridge Rd,,Mt Pleasant,SC,29464,32.8467158,-79.8788237
Westbrook Brewing Company,510 Ridge Rd,,Mt Pleasant,SC,29464,41.6372706,-80.1547476
Weyerbacher Brewing Company,905 Line St,,Easton,PA,18042,40.6732415,-75.2278958
Wicked Weed Brewing,91 Biltmore Ave,,Asheville,NC,28801,35.591694,-82.5532212
Willoughby Brewing,4057 Erie Street,,Willoughby,OH,44094,41.6414616,-81.40649952
Yuengling Brewery,501 Mahantongo St,,Pottsville,PA,17901,40.0086029,-75.2936914
Ram Restaurant & Brewery,Various: 1901 McConnor Pkwy,Ste 4-103,Schaumburg,IL,60173,42.0539178,-88.0330751
The Alchemist Brewery and Visitors Center,100 Cottage Club Rd,,Stowe,VT,5672,44.4762604,-72.7166371
WeldWerks Brewing Company,508 8th Ave,,Greeley,CO ,80631,40.428113,-104.6927021
Fort George Brewery + Public House,1483 Duane St,,Astoria,OR,97103,46.1884581,-123.8297099
Two Roads Brewing Company,1700 Stratford Ave,,Stratford,CT,6615,41.1862668,-73.1443408
Crooked Stave Artisan Beer Project,3350 Brighton Blvd,,Denver,CO,80216,39.7685881,-104.979519
