"","Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"81","Cigar City Brewing","Caffè Americano","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"82","Cigar City Brewing","Caffe Americano - Rum Barrel Aged","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"83","Civil Society Brewing","Pulp","1200 Town Center Dr #101","","Jupiter","FL","33458","26.889558",-80.1169707
"84","Clown Shoes","Breakfast Exorcism","23 Hayward St.","","Ipswich","MA","1938","27.958895",-82.509196
"85","Columbus Brewing Company","Columbus Bodhi DIPA","2555 Harrison Rd","","Columbus","OH","43204","42.671798",-70.843505
"86","Columbus Brewing Company","Columbus Bodhi","2555 Harrison Rd","","Columbus","OH","43204","42.671798",-70.843505
"87","Creature Comforts","See The Stars","271 W Hancock Ave","","Athens","GA","30601","33.9589924",-83.3824793
"88","Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","511 South Kalamazoo Street","","Marshall","MI","49068","39.96931561",-83.06672828
"89","de Garde Brewing","Nectarine Premiere","6000 Blimp Blvd","","Tillamook","OR","97141","45.418664",-123.8018432
"90","de Garde Brewing","The Broken Truck","6000 Blimp Blvd","","Tillamook","OR","97141","45.418664",-123.8018432
"91","de Garde Brewing","The Peach","6000 Blimp Blvd","","Tillamook","OR","97141","45.418664",-123.8018432
"92","de Garde Brewing","Imperial Apricot Bu Weisse","6000 Blimp Blvd","","Tillamook","OR","97141","45.418664",-123.8018432
"93","De Struise Brouwers","Pannepot","Kasteelstraat 50","8640 Oostvleteren","","Belgium","","50.9318875",2.7354884
"94","De Struise Brouwers","Black Damnation V - Double Black","Kasteelstraat 50","8640 Oostvleteren","","Belgium","","50.9318875",2.7354884
"95","Deschutes Brewery","The Abyss (Rye Whiskey Barrel-Aged)","901 SW Simpson Ave","","Bend","OR","97702","45.418664",-123.8018432
"96","Deschutes Brewery","The Abyss","901 SW Simpson Ave","","Bend","OR","97702","45.418664",-123.8018432
"97","Deschutes Brewery","The Abyss","901 SW Simpson Ave","","Bend","OR","97702","44.7801883",-123.117885
"98","Evil Twin Brewing","Evil Twin Imperial Biscotti Break","446 Kent Ave","Apt 14A","Brooklyn","NY","11249","44.04780638",-121.3246184
"99","Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged","446 Kent Ave","Apt 14A","Brooklyn","NY","11249","44.04780638",-121.3246184
"100","Evil Twin Brewing","Evil Twin Double Barrel Jesus","446 Kent Ave","Apt 14A","Brooklyn","NY","11249","44.04780638",-121.3246184
"101","Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA","24581 Lorain Rd.","","North Olmstead","OH","44070","40.7088389",-73.969435
"102","Fat Head's Brewery & Saloon","Fat Head's Head Hunter IPA","24581 Lorain Rd.","","North Olmstead","OH","44070","40.7088389",-73.969435
"103","Fiddlehead Brewing Company","Mastermind","6305 Shelburne Rd","","Shelburne","VT","5482","44.3661445",-73.232595
"104","Fiddlehead Brewing Company","Second Fiddle","6305 Shelburne Rd","","Shelburne","VT","5482","44.3661445",-73.232595
"105","FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)","11197 Brockway Rd","","Truckee","CA","96161","39.3214307",-120.1630273
"106","Firestone Walker Brewing Company","§ucaba","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"107","Firestone Walker Brewing Company","Stickee Monkee","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"108","Firestone Walker Brewing Company","Parabajava","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"109","Firestone Walker Brewing Company","Bretta Ros‚","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"110","Firestone Walker Brewing Company","Parabola","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"111","Firestone Walker Brewing Company","Firestone 19 - Anniversary Ale","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"112","Firestone Walker Brewing Company","Bretta Rosé","1400 Ramada Drive","","Paso Robles","CA","93446","35.59647955",-120.6944042
"113","Flossmoor Station Restaurant & Brewery","Bourbon Barrel Aged Hi-Fi Rye","1035 Sterling Ave","","Flossmoor","IL","60422","41.543227",-87.6808507
"114","Foundation Brewing Company","Epiphany","1 Industrial Way?","","Portland","ME","4103","35.59647955",-120.6944042
"115","Founders Brewing Company","Founders Breakfast Stout","235 Grandville Ave SW","","Grand Rapids","MI","49503","42.958697",-85.673522
"116","Founders Brewing Company","Founders Imperial Stout","235 Grandville Ave SW","","Grand Rapids","MI","49503","42.958697",-85.673522
"117","Founders Brewing Company","Founders CBS Imperial Stout","235 Grandville Ave SW","","Grand Rapids","MI","49503","42.958697",-85.673522
"118","Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","235 Grandville Ave SW","","Grand Rapids","MI","49503","42.958697",-85.673522
