"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
159,"Pelican Pub & Brewery","Mother Of All Storms","English Barleywine","14.00%",4.41,1927,127,"33180 Cape Kiwanda Dr.","","Pacific City","OR","97135"
160,"Fiddlehead Brewing Company","Second Fiddle","American Double / Imperial IPA","8.20%",4.41,1705,52,"6305 Shelburne Rd","","Shelburne","VT","5482"
161,"Aslin Beer Company","Orange Starfish","American IPA","5.70%",4.4,133,88,"1330 N Forest St","","Bellingham","WA","98225"
162,"SingleCut Beersmiths","Softly Spoken Magic Spells","American Double / Imperial IPA","8.60%",4.4,608,33,"19-33 37th St","","Queens","NY","11105"
163,"Lagunitas Brewing Company","Born Yesterday Pale Ale","American Pale Ale (APA)","7.00%",4.4,2235,120,"1280 N McDowell Blvd","","Petaluma","CA","94954"
164,"Russian River Brewing Company","Consecration","American Wild Ale","10.00%",4.4,5207,2,"725 4th St","","Santa Rosa","CA","95404"
165,"Tree House Brewing Company","Curiosity Twenty Seven","American Double / Imperial IPA","8.00%",4.4,125,71,"160 E Hill Rd","","Monson","MA","1057"
166,"Sante Adairius Rustic Ales","Westly","American Wild Ale","8.50%",4.4,229,96,"103 Kennedy Dr","","Capitola","CA","95010"
167,"Trillium Brewing Company","Dialed In (w/ Sauvignon Blanc Juice)","American Double / Imperial IPA","8.50%",4.4,471,150,"369 Congress St","","Boston","MA","2210"
168,"Jester King Brewery","Montmorency Vs Balaton","American Wild Ale","6.70%",4.4,695,138,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
169,"Willoughby Brewing","Nut Smasher","American Double / Imperial Stout","11.00%",4.4,295,145,"4057 Erie Street","","Willoughby","OH","44094"
170,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star: Coffee Edition","Oatmeal Stout","14.50%",4.4,559,144,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
171,"Foundation Brewing Company","Epiphany","American Double / Imperial IPA","8.00%",4.4,854,26,"1 Industrial Way?","","Portland","ME","4103"
172,"Boston Beer Company (Samuel Adams)","Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2487,137,"30 Germania St","","Jamaica Plain","MA","2130"
173,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1709,37,"9990 AleSmith Ct","","San Diego","CA","92126"
174,"Bayerische Staatsbrauerei Weihenstephan","Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8168,57,"Alte Akademie 2","","Freising","Germany","85354"
175,"Sante Adairius Rustic Ales","West Ashley","American Wild Ale","7.30%",4.4,943,174,"103 Kennedy Dr","","Capitola","CA","95010"
176,"Peg's Cantina & Brew Pub","Trademark Dispute: Pallet 1","American Double / Imperial Stout","10.40%",4.4,301,132,"Closed","","","",""
177,"Bottle Logic Brewing","Ground State - 2nd Anniversary Beer","American Double / Imperial Stout","12.50%",4.4,374,146,"1072 N Armando St","","Anaheim","CA","92806"
178,"Trillium Brewing Company","Double Dry Hopped Sleeper Street","American IPA","7.20%",4.4,722,172,"369 Congress St","","Boston","MA","2210"
179,"Hair of the Dog Brewing Company / Brewery and Tasting Room","Matt","American Strong Ale","11.50%",4.39,831,78,"61 SE Yamhill St","","Portland","OR","97214"
180,"Bottle Logic Brewing","Leche Borracho","American Double / Imperial Stout","11.00%",4.39,270,130,"1072 N Armando St","","Anaheim","CA","92806"
181,"Three Floyds Brewing Company","French Vanilla Militia","Russian Imperial Stout","Imperial",4.39,116,74,"9750 Indiana Pkwy","","Munster","IN","46321"
182,"Hill Farmstead Brewery","Society & Solitude #6","American Double / Imperial IPA","8.10%",4.39,671,155,"403 Hill Rd","","Greensboro Bend","VT","5842"
